Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000035772	chr2	28323586	28326698	7013	+	2226	1900	1860	1678	371	926
ENSMUSG00000035773	chr10	79379716	79385018	4121	+	5	1	0	3	1	1
ENSMUSG00000035775	chr11	99289717	99299464	1927	-	1	0	0	1	0	2
ENSMUSG00000035776	chrX	68673235	68746024	13164	-	162	174	162	146	43	97
ENSMUSG00000035778	chr2	35255699	35318751	21435	-	1058	915	786	1369	319	861
ENSMUSG00000035780	chr5	87753997	87766220	2117	-	0	0	0	0	0	0
ENSMUSG00000035781	chr10	79372798	79379751	3364	-	391	307	286	331	58	218
ENSMUSG00000035783	chr19	34315580	34329826	1781	-	3	2	3	1	1	1
ENSMUSG00000035785	chr8	106846137	106854656	865	+	0	0	0	1	0	1
ENSMUSG00000035790	chr16	32099886	32108155	4987	+	285	210	270	245	62	133
ENSMUSG00000035798	chr10	110378838	110447122	5692	-	796	748	765	904	254	593
ENSMUSG00000035799	chr12	34642536	34644682	1616	+	23	21	17	17	4	12
ENSMUSG00000035804	chr19	52338813	52339946	1016	+	0	0	0	0	0	0
ENSMUSG00000035805	chr15	88786314	88809437	5584	-	0	0	0	0	0	2
ENSMUSG00000035811	chr5	87429885	87442299	5056	+	2	0	0	0	0	0
ENSMUSG00000035818	chr19	56536127	56561219	2385	+	3	2	6	2	1	2
ENSMUSG00000035824	chr8	106750591	106772458	2400	-	443	334	329	317	83	228
ENSMUSG00000035828	chr15	88692616	88696150	4575	+	1552	1218	1301	1536	317	1078
ENSMUSG00000035829	chr2	28302320	28311028	7353	+	336	306	317	343	41	250
ENSMUSG00000035831	chr11	99176830	99184265	1989	-	0	0	0	0	0	0
ENSMUSG00000035834	chr13	81812842	81850012	7499	-	1694	1433	1412	1290	374	750
ENSMUSG00000035835	chr10	79323220	79337379	17362	-	10	9	9	25	5	10
ENSMUSG00000035836	chr5	87345663	87355555	2573	-	0	0	0	0	0	0
ENSMUSG00000035840	chr13	81796805	81810887	3124	+	470	430	386	399	118	238
ENSMUSG00000035842	chr17	66472860	66501507	8297	+	1657	1517	1323	1423	292	1169
ENSMUSG00000035845	chr15	88635674	88649748	8192	-	248	217	212	240	38	126
ENSMUSG00000035847	chrX	67596244	67618260	15498	-	251	263	185	264	80	225
ENSMUSG00000035849	chr11	99094075	99105399	5871	-	7	7	4	7	5	13
ENSMUSG00000035851	chr5	87233246	87265684	25955	+	3385	3346	2636	3264	863	2223
ENSMUSG00000035852	chr10	79283766	79293197	4841	+	12	3	7	8	4	4
ENSMUSG00000035860	chr12	33718661	33777740	2953	-	0	1	0	0	0	1
ENSMUSG00000035861	chr5	87086656	87105387	4171	-	35	37	26	24	7	44
ENSMUSG00000035863	chr10	79256317	79283641	5170	+	181	169	151	125	21	113
ENSMUSG00000035864	chr10	107934706	108448038	17976	-	2	0	0	1	0	5
ENSMUSG00000035868	chr17	21794549	21799507	1383	+	58	52	34	39	5	27
ENSMUSG00000035873	chr10	107769245	107851447	3524	+	1260	1048	1069	1133	345	802
ENSMUSG00000035875	chr2	34939566	34957063	5358	-	4	6	8	5	1	7
ENSMUSG00000035877	chr2	160574444	160698734	27533	-	24	16	19	22	6	28
ENSMUSG00000035878	chr9	54765090	54797731	15318	+	215	152	160	190	46	151
ENSMUSG00000035885	chr19	7289648	7292106	545	-	4057	3391	2984	3591	823	1967
ENSMUSG00000035890	chr10	79221260	79229666	1608	-	594	554	520	533	123	387
ENSMUSG00000035891	chr15	85969558	86016571	10576	-	117	102	102	111	22	89
ENSMUSG00000035896	chr14	51764677	51766442	970	-	2	3	3	0	0	0
ENSMUSG00000035898	chr5	86539745	86601828	12838	-	2347	2168	2022	2683	727	1649
ENSMUSG00000035900	chr15	85888125	85968064	14239	+	164	130	98	248	55	162
ENSMUSG00000035901	chr7	117037294	117103984	16892	-	1863	1555	1491	1478	342	1027
ENSMUSG00000035910	chr13	25147873	25302575	10318	+	300	323	249	191	69	223
ENSMUSG00000035914	chr9	58372107	58402939	6480	-	134	122	100	189	39	164
ENSMUSG00000035916	chr10	106954416	107157083	10471	-	0	0	0	0	0	0
ENSMUSG00000035919	chr9	22280159	22692724	22202	+	456	501	426	548	147	519
ENSMUSG00000035923	chr10	106929916	106931785	1248	-	0	0	0	0	0	0
ENSMUSG00000035929	chr17	35516562	35522235	7217	+	26	20	25	44	12	43
ENSMUSG00000035930	chr8	112552975	112563234	2000	-	0	0	0	0	0	0
ENSMUSG00000035932	chr14	51689986	51691117	1132	-	0	0	0	0	0	0
ENSMUSG00000035933	chr12	32339734	32622495	2997	+	1061	934	867	1046	266	792
ENSMUSG00000035934	chr9	36697550	36954899	23060	-	262	260	204	142	40	128
ENSMUSG00000035936	chr13	24999448	25029530	5647	-	408	362	323	329	111	276
ENSMUSG00000035941	chr9	85580963	85642830	15459	-	2741	2421	2192	2322	588	1556
ENSMUSG00000035944	chr15	85662734	85689252	10209	+	274	302	233	265	45	176
ENSMUSG00000035946	chr5	75471489	75473918	2985	+	0	0	0	0	0	0
ENSMUSG00000035948	chr10	106373220	106560724	6431	-	14	10	5	9	5	13
ENSMUSG00000035949	chr2	34660034	34681831	23620	-	1339	1172	1039	1026	260	773
ENSMUSG00000035951	chr7	116870979	116875246	706	-	0	0	0	0	0	0
ENSMUSG00000035953	chr14	51545745	51550531	14369	-	1349	1215	999	915	181	580
ENSMUSG00000035954	chr12	41172640	41573073	22742	+	424	372	297	602	175	565
ENSMUSG00000035958	chr13	24923548	24934022	2500	+	1048	886	936	789	207	511
ENSMUSG00000035960	chr14	51544643	51546814	4549	+	3377	2808	3126	3034	651	1629
ENSMUSG00000035963	chr10	79102271	79108483	2294	-	1	1	1	0	0	0
ENSMUSG00000035964	chr8	73007775	73011257	1482	-	7	7	4	31	9	29
ENSMUSG00000035967	chrX	53708034	53761020	24841	+	437	432	335	310	97	248
ENSMUSG00000035969	chr4	43394851	43439960	32459	+	766	647	597	716	160	653
ENSMUSG00000035983	chr12	40949345	40955771	2244	+	18	14	14	11	6	11
ENSMUSG00000035984	chr18	34722288	34738769	2881	-	2	2	3	3	3	0
ENSMUSG00000035992	chr11	54251701	54331737	8993	+	1739	1763	1484	1351	407	916
ENSMUSG00000036002	chr4	43045286	43059092	20657	-	207	135	132	127	27	91
ENSMUSG00000036006	chr13	24674058	24825685	31724	+	13	10	6	16	2	13
ENSMUSG00000036009	chr10	105200241	105278436	7417	-	374	343	298	313	89	271
ENSMUSG00000036013	chrX	50626601	50684362	1652	+	0	1	0	0	0	0
ENSMUSG00000036019	chr10	104624719	105011507	15111	-	61	54	39	48	15	44
ENSMUSG00000036022	chrX	50596592	50622982	14474	-	583	556	484	541	163	361
ENSMUSG00000036023	chr14	51427621	51440975	1788	+	1222	1117	1034	994	285	642
ENSMUSG00000036026	chr17	45797120	45823854	9906	-	1110	1076	917	1144	209	858
ENSMUSG00000036027	chr9	51097791	51137022	1318	-	0	0	0	0	0	0
ENSMUSG00000036030	chr9	72655081	72765098	8748	+	1202	998	934	2651	662	1772
ENSMUSG00000036036	chr17	37138108	37147580	13212	+	11207	10357	9384	13214	2856	8164
ENSMUSG00000036040	chr2	26934899	26964501	11429	+	0	0	0	0	0	0
ENSMUSG00000036045	chr11	53972428	53973558	1131	+	0	1	0	2	0	0
ENSMUSG00000036046	chr15	84774366	84818981	20120	-	578	477	445	401	88	277
ENSMUSG00000036052	chr4	42962686	42972297	18064	+	144	98	88	160	43	120
ENSMUSG00000036053	chr2	52716894	52993236	23697	+	1637	1522	1381	1273	401	1041
ENSMUSG00000036054	chr8	72758125	72803814	32248	+	2505	2347	1961	2680	597	2370
ENSMUSG00000036057	chr9	110287593	110310714	5336	-	635	624	474	501	183	760
ENSMUSG00000036061	chr15	102983738	102988383	3231	-	343	329	309	266	49	170
ENSMUSG00000036062	chr4	42929532	42957624	23786	+	1	0	0	2	1	3
ENSMUSG00000036067	chr2	26876883	26883518	10094	-	5	1	4	3	1	0
ENSMUSG00000036073	chr4	41702101	41705568	10538	+	378	363	387	452	71	268
ENSMUSG00000036078	chr4	41685366	41703030	7754	-	840	647	675	980	241	658
ENSMUSG00000036083	chr13	23931303	23952583	16193	+	0	0	0	0	0	0
ENSMUSG00000036086	chr1	129850761	129999624	17689	-	1711	1563	1378	1337	371	1119
ENSMUSG00000036087	chr5	73305543	73370068	15458	+	1447	1319	1245	1925	550	1246
ENSMUSG00000036091	chr9	107483149	107489690	4211	+	33	43	33	22	4	23
ENSMUSG00000036093	chr2	52253471	52280421	5691	-	1716	1532	1427	1634	490	910
ENSMUSG00000036095	chr12	38606761	39359997	23292	+	9	5	5	24	3	26
ENSMUSG00000036097	chr19	45005609	45058277	20167	+	3121	3097	2624	2172	556	1708
ENSMUSG00000036098	chr19	10282762	10315238	14906	-	36	46	36	797	252	1013
ENSMUSG00000036099	chr10	93401910	93498562	33401	-	640	638	483	717	189	687
ENSMUSG00000036103	chr18	9707646	9877993	3322	+	598	513	506	893	221	562
ENSMUSG00000036104	chr1	129765350	129840445	8854	+	1035	960	909	952	193	656
ENSMUSG00000036106	chr15	84500050	84534103	3549	+	130	113	102	121	27	121
ENSMUSG00000036109	chrX	48470446	48559709	20096	-	121	129	86	176	31	190
ENSMUSG00000036110	chr13	23898862	23917049	13654	+	0	0	0	0	0	0
ENSMUSG00000036111	chr7	116282086	116313822	1071	-	32	26	36	8	2	4
ENSMUSG00000036112	chr10	93321234	93353947	4990	-	4241	3919	3568	3565	782	2125
ENSMUSG00000036114	chr4	41659065	41660566	856	-	372	298	307	328	32	155
ENSMUSG00000036117	chr11	53534296	53538608	1537	+	0	0	0	0	0	0
ENSMUSG00000036120	chr8	72654711	72663096	3676	-	431	355	336	463	102	305
ENSMUSG00000036123	chr13	74258963	74303512	2490	+	0	0	0	0	0	0
ENSMUSG00000036131	chrX	48247303	48295887	5616	-	0	0	1	0	0	0
ENSMUSG00000036136	chr12	31758833	31764802	2667	+	0	0	1	0	0	2
ENSMUSG00000036138	chr9	119248794	119259417	13583	+	669	625	574	560	91	374
ENSMUSG00000036139	chr15	102806870	102815530	3008	+	16	24	18	10	1	16
ENSMUSG00000036144	chr12	37835127	37908372	4611	+	3	0	1	5	0	1
ENSMUSG00000036151	chr8	72596823	72603965	5829	+	32	26	33	20	6	25
ENSMUSG00000036155	chr1	129101563	129380281	6320	+	345	354	293	311	70	290
ENSMUSG00000036158	chr15	93329545	93426322	8229	-	71	63	51	30	8	19
ENSMUSG00000036160	chr2	26744148	26758399	7690	-	1519	1386	1270	1219	227	828
ENSMUSG00000036162	chr4	41464470	41465962	708	+	0	0	0	0	0	0
ENSMUSG00000036167	chr15	93228781	93322344	15071	+	467	422	373	414	101	359
ENSMUSG00000036168	chr10	93003377	93047072	10670	+	65	53	66	156	32	81
ENSMUSG00000036169	chr12	37040756	37045039	1751	+	1	0	0	1	0	0
ENSMUSG00000036172	chr16	44943791	44981493	15798	+	7	5	5	4	1	4
ENSMUSG00000036180	chr8	72430968	72520278	10270	-	5338	4712	4139	4321	1146	3522
ENSMUSG00000036181	chr13	23830676	23832235	1560	+	11751	11149	12034	9962	1935	5714
ENSMUSG00000036185	chr17	35162904	35164961	2869	-	64	45	45	33	7	14
ENSMUSG00000036186	chr2	26483977	26492017	2964	+	67	67	83	76	13	45
ENSMUSG00000036188	chr12	36883711	36923878	2446	+	636	606	592	557	160	318
ENSMUSG00000036192	chr19	19005095	19185686	25638	-	11	6	9	4	0	9
ENSMUSG00000036196	chr17	28774728	28826932	5919	-	7	6	5	6	2	10
ENSMUSG00000036197	chr15	93070173	93105610	12929	-	700	713	571	695	198	556
ENSMUSG00000036198	chrX	46817122	46853421	7470	+	3	0	1	0	1	0
ENSMUSG00000036199	chr8	72418087	72426457	1243	-	2013	1791	1790	1603	342	1015
ENSMUSG00000036202	chr2	51928357	51977903	39590	+	28463	27757	24391	28358	8482	20942
ENSMUSG00000036206	chr1	90966990	91051643	5336	+	2154	1819	1840	1815	375	1335
ENSMUSG00000036208	chr16	44724414	44737397	9602	+	1045	1031	847	958	247	748
ENSMUSG00000036211	chr13	23787680	23788588	909	+	98	87	79	209	50	118
ENSMUSG00000036214	chr17	37095537	37102567	2648	+	157	106	109	130	18	62
ENSMUSG00000036216	chr11	53235683	53236672	531	-	1	0	0	1	0	0
ENSMUSG00000036218	chr15	92227346	92602250	9834	+	1	5	2	2	0	0
ENSMUSG00000036223	chr18	74354953	74367472	2669	-	543	397	435	505	133	264
ENSMUSG00000036225	chr18	15127194	15309955	8315	-	67	69	54	52	14	52
ENSMUSG00000036231	chr12	36652207	36676323	1214	+	0	0	0	0	0	0
ENSMUSG00000036241	chr4	41082776	41140413	5208	+	1368	1238	1147	1227	361	909
ENSMUSG00000036242	chr14	50301235	50403058	6892	-	563	494	415	472	95	318
ENSMUSG00000036244	chr9	58207611	58218176	1097	-	0	0	0	0	0	0
ENSMUSG00000036246	chr8	72332578	72345769	11875	+	186	172	158	339	65	315
ENSMUSG00000036249	chr2	51779968	51790683	10267	-	80	47	51	50	18	38
ENSMUSG00000036251	chr1	90174236	90285868	12548	+	0	0	0	0	0	0
ENSMUSG00000036256	chr5	77778265	77837070	3447	-	61	69	65	21	4	14
ENSMUSG00000036257	chr12	45322357	45413330	10236	+	913	841	766	848	262	561
ENSMUSG00000036264	chr11	52578136	53002040	7208	+	4	1	3	8	2	8
ENSMUSG00000036270	chr8	108404781	108418808	17600	+	3388	3160	2899	3215	649	2406
ENSMUSG00000036273	chr15	91503606	91646551	18981	+	26	32	20	40	9	36
ENSMUSG00000036275	chr11	52209930	52222230	9108	+	645	593	503	548	135	355
ENSMUSG00000036278	chr19	7131258	7272551	1274	+	84	66	54	49	11	33
ENSMUSG00000036279	chr16	43620990	43624068	3079	+	0	0	0	0	0	0
ENSMUSG00000036281	chr2	26218285	26236173	21705	-	1204	1048	871	1335	276	994
ENSMUSG00000036282	chr14	49791901	49810706	14478	+	1173	1165	961	1331	478	994
ENSMUSG00000036285	chr5	77723199	77739109	8158	-	542	471	455	506	129	387
ENSMUSG00000036291	chr14	49686170	49707398	3165	+	609	530	517	579	146	343
ENSMUSG00000036292	chr16	43980468	44028058	6772	-	16	10	15	3	2	7
ENSMUSG00000036295	chr12	42178260	42212338	3180	-	14	8	5	1	0	0
ENSMUSG00000036298	chr15	91098122	91403692	21687	-	0	1	0	0	0	0
ENSMUSG00000036299	chr18	75165554	75169587	1047	+	831	674	733	730	176	430
ENSMUSG00000036304	chr16	43969191	43979206	2658	-	52	49	45	21	6	22
ENSMUSG00000036305	chr15	102465410	102465767	864	+	25	19	20	10	2	15
ENSMUSG00000036306	chr8	71659345	71664908	1913	-	37	37	34	9	2	9
ENSMUSG00000036309	chr11	52045497	52060360	5226	+	5880	4784	5105	4431	1157	2324
ENSMUSG00000036315	chr17	37091303	37095504	2488	-	583	485	477	518	129	291
ENSMUSG00000036322	chr17	34478897	34481589	1728	-	1	1	0	0	0	1
ENSMUSG00000036323	chr5	77403708	77428962	12276	+	3755	3510	3374	3166	852	1974
ENSMUSG00000036327	chr2	26064157	26093045	10466	-	1686	1384	1467	1705	303	1139
ENSMUSG00000036330	chr8	71561610	71613134	8012	-	54	37	27	54	15	57
ENSMUSG00000036333	chr12	25659797	25746142	26135	+	1661	1523	1180	1598	357	1168
ENSMUSG00000036334	chr3	59120657	59148178	10084	-	76	96	78	64	14	42
ENSMUSG00000036339	chr14	49065803	49134834	21239	+	137	129	121	162	51	118
ENSMUSG00000036352	chr2	25854063	25877267	6880	-	1165	1007	988	922	216	629
ENSMUSG00000036353	chr3	59020193	59066753	4439	-	0	0	0	0	0	0
ENSMUSG00000036356	chr8	70880680	71259045	10910	-	13	9	9	2	1	3
ENSMUSG00000036357	chrX	54749845	54756934	5410	-	0	0	0	0	1	0
ENSMUSG00000036362	chr3	59011818	59014804	2524	-	0	0	0	0	0	0
ENSMUSG00000036368	chr17	80014240	80081492	1802	+	155	136	128	162	34	102
ENSMUSG00000036371	chr6	67216973	67239296	6685	+	18334	17208	15166	17530	5401	10295
ENSMUSG00000036372	chr19	10278504	10282314	3060	+	1088	944	925	1063	226	470
ENSMUSG00000036376	chr13	23513408	23515735	1278	-	590	502	520	445	108	259
ENSMUSG00000036377	chr5	77086708	77302579	33730	+	11	22	10	8	3	15
ENSMUSG00000036381	chr3	58918548	58934546	3468	-	0	0	0	1	0	0
ENSMUSG00000036390	chr6	66985090	66987451	3966	-	159	145	122	749	173	429
ENSMUSG00000036391	chr11	51505765	51577136	26108	-	828	844	615	732	280	836
ENSMUSG00000036395	chr9	26570629	26614053	14035	-	88	100	66	81	27	57
ENSMUSG00000036398	chr17	37085301	37088686	2776	-	590	457	472	500	98	262
ENSMUSG00000036401	chr2	25649379	25671368	1659	-	0	0	0	0	0	0
ENSMUSG00000036402	chr6	66846391	66971344	11186	+	346	300	252	358	103	290
ENSMUSG00000036403	chr5	77017723	77075491	16479	+	799	745	643	683	197	544
ENSMUSG00000036411	chr9	22216021	22249121	4678	+	47	27	31	27	9	29
ENSMUSG00000036412	chr18	61071434	61078215	2975	+	1	2	3	3	0	4
ENSMUSG00000036422	chr14	80166587	80171119	3995	-	5	2	6	72	11	54
ENSMUSG00000036427	chr7	34987141	35015308	6183	-	7283	5202	4714	3883	770	2650
ENSMUSG00000036430	chr17	47027570	47029412	1843	+	376	286	294	262	46	167
ENSMUSG00000036432	chr3	58478860	58496322	5346	-	306	223	270	236	49	173
ENSMUSG00000036435	chr5	76958336	76999319	23794	+	1328	1216	1060	1224	268	863
ENSMUSG00000036437	chr8	69221321	69230697	3007	+	11	8	4	7	1	10
ENSMUSG00000036438	chr17	87832752	87846275	2752	-	5515	4721	4614	4843	1043	2461
ENSMUSG00000036442	chr8	108379003	108380850	1848	+	865	745	785	694	125	392
ENSMUSG00000036446	chr10	97028135	97035337	2075	+	2	0	0	2	0	2
ENSMUSG00000036449	chr2	25508640	25511737	651	+	0	0	0	0	0	0
ENSMUSG00000036450	chr19	44637340	44650764	7062	+	940	986	728	979	258	963
ENSMUSG00000036452	chr18	38761188	39535938	38763	+	176	181	153	218	63	249
ENSMUSG00000036459	chr7	34894562	34918287	3388	-	960	740	816	776	138	496
ENSMUSG00000036461	chr14	79881001	79982283	12586	+	259	253	221	203	39	138
ENSMUSG00000036463	chr6	65902565	65904006	1442	+	0	0	0	0	0	0
ENSMUSG00000036466	chr9	64233433	64557012	32608	+	387	305	278	777	201	784
ENSMUSG00000036469	chr8	68141799	68995536	31118	+	1	1	2	5	0	1
ENSMUSG00000036473	chr17	24312376	24342507	39803	-	966	898	742	638	137	603
ENSMUSG00000036478	chr10	96079635	96085447	5010	+	854	827	681	534	185	532
ENSMUSG00000036480	chr1	89083240	89084978	1764	+	6	1	4	3	1	5
ENSMUSG00000036492	chr17	37079863	37084931	2652	+	6	8	8	12	4	4
ENSMUSG00000036499	chr10	95403297	95508152	15512	+	1076	997	811	1290	413	910
ENSMUSG00000036500	chr1	89021583	89024487	1680	+	0	0	0	0	0	0
ENSMUSG00000036501	chr18	34602006	34666477	3343	-	927	937	795	942	312	954
ENSMUSG00000036502	chrX	35549750	35605616	12730	-	0	0	0	0	0	0
ENSMUSG00000036503	chr3	57539993	57639347	4887	+	991	970	904	1532	527	1057
ENSMUSG00000036504	chr2	25428950	25430744	1593	-	59	43	39	54	1	32
ENSMUSG00000036510	chr8	101548371	101940371	23200	-	2	6	4	20	1	11
ENSMUSG00000036513	chr3	57446826	57455637	5834	-	557	482	422	553	125	349
ENSMUSG00000036521	chr7	32087780	32089996	520	+	0	0	0	0	0	0
ENSMUSG00000036523	chr12	16677421	16807692	32906	-	17	11	13	25	13	28
ENSMUSG00000036526	chr5	141348953	141476550	4112	-	9	6	3	5	2	2
ENSMUSG00000036528	chr7	114738565	114892096	7360	+	283	267	232	677	147	518
ENSMUSG00000036529	chr15	89118667	89145742	32494	-	1621	1553	1302	1459	346	1402
ENSMUSG00000036533	chr17	79733365	79754431	1967	-	530	495	424	498	110	310
ENSMUSG00000036534	chr8	98359820	98377439	4599	-	2500	2427	2181	1709	409	1422
ENSMUSG00000036537	chrX	34731240	34732457	1218	+	70	52	31	46	17	31
ENSMUSG00000036545	chr11	50415586	50621075	9785	+	83	88	43	87	31	112
ENSMUSG00000036550	chr8	98243351	98331366	16546	-	24318	22368	18653	20268	5255	15927
ENSMUSG00000036551	chrX	34690693	34708837	1792	-	0	0	0	0	0	0
ENSMUSG00000036552	chr17	15178605	15201196	8568	+	475	488	397	462	109	573
ENSMUSG00000036553	chr5	36039829	36071925	29520	-	920	836	819	832	142	651
ENSMUSG00000036555	chr5	141137781	141178332	24936	-	323	310	230	297	67	282
ENSMUSG00000036557	chr17	87788911	87827081	847	-	4	1	3	0	0	5
ENSMUSG00000036560	chr7	31844361	31855954	8443	+	0	0	1	0	0	1
ENSMUSG00000036561	chr15	89083466	89116692	5561	+	128	121	109	107	21	88
ENSMUSG00000036564	chr8	98200880	98239019	16492	+	351	331	264	281	57	171
ENSMUSG00000036565	chr5	141096540	141124985	4650	-	140	169	143	203	45	221
ENSMUSG00000036568	chr17	46935065	46968362	6579	-	2754	2749	2277	2627	681	2153
ENSMUSG00000036570	chr7	31836700	31840675	1779	-	0	1	0	0	0	0
ENSMUSG00000036572	chrX	34631673	34650335	6890	-	872	806	669	746	228	506
ENSMUSG00000036574	chr1	88322946	88324538	1503	+	0	0	1	2	1	0
ENSMUSG00000036578	chr7	31827536	31836481	684	-	0	0	0	0	0	0
ENSMUSG00000036580	chr3	54916030	54941244	15116	+	462	352	357	290	61	147
ENSMUSG00000036585	chr18	38998327	39089058	11903	-	14	15	22	55	11	32
ENSMUSG00000036586	chr5	141039073	141041025	613	-	0	0	0	0	0	0
ENSMUSG00000036587	chr2	25278787	25281894	6737	+	0	1	0	0	0	1
ENSMUSG00000036591	chr2	20769546	20890508	46404	-	2749	2519	2113	2448	737	2198
ENSMUSG00000036594	chr17	34406276	34424772	4002	-	23	27	22	22	8	13
ENSMUSG00000036596	chr5	35844864	35868347	2590	-	21	17	14	22	1	19
ENSMUSG00000036598	chr8	98058000	98082788	1271	+	44	33	32	40	19	26
ENSMUSG00000036599	chr5	140981504	141001678	4288	+	107	106	79	141	30	123
ENSMUSG00000036602	chr10	102470481	102491685	6786	-	0	0	0	0	0	0
ENSMUSG00000036606	chr15	88985979	89011218	29841	-	4167	3758	3196	2912	589	2279
ENSMUSG00000036611	chr9	25289132	25411695	3388	+	103	98	80	233	45	214
ENSMUSG00000036613	chr12	29436693	29552356	1692	+	511	464	459	457	82	293
ENSMUSG00000036615	chr3	54607038	54611713	2161	-	103	72	71	76	24	34
ENSMUSG00000036617	chr2	19831407	20732340	89765	+	5056	5150	3767	7190	1966	7373
ENSMUSG00000036620	chr11	50024392	50048605	5783	+	382	300	298	299	81	306
ENSMUSG00000036622	chr4	140542788	140563245	20654	+	642	579	618	681	153	513
ENSMUSG00000036632	chr3	54539461	54555049	5918	+	338	334	297	339	85	206
ENSMUSG00000036634	chr7	31684202	31699851	7065	-	1	4	1	0	0	2
ENSMUSG00000036636	chr17	25270336	25299049	12144	+	1351	1461	1154	1289	260	996
ENSMUSG00000036639	chr5	140807814	140814091	4066	+	487	451	418	427	74	247
ENSMUSG00000036641	chr2	58674108	58998740	10111	-	16	11	6	13	2	11
ENSMUSG00000036644	chr11	49944898	49986287	12770	+	711	644	570	635	153	472
ENSMUSG00000036646	chr2	25187858	25207732	8108	+	1760	1626	1544	1544	276	988
ENSMUSG00000036647	chr7	114099498	114100448	951	-	0	0	0	0	0	0
ENSMUSG00000036648	chr17	15132803	15147148	1306	-	7	8	7	8	1	9
ENSMUSG00000036655	chr12	29279038	29308155	1383	-	0	3	0	0	0	0
ENSMUSG00000036658	chr13	21730449	21731390	942	-	0	0	0	0	0	0
ENSMUSG00000036661	chr15	73342990	73402672	15924	+	117	97	85	111	31	104
ENSMUSG00000036667	chr6	42618001	42660071	19677	-	59	40	42	57	16	35
ENSMUSG00000036672	chr8	108368578	108375908	1767	-	1763	1512	1447	1909	388	1383
ENSMUSG00000036676	chr10	99906536	99949984	12449	-	1520	1503	1235	1697	413	1314
ENSMUSG00000036678	chr15	102168678	102181190	1816	-	1920	1668	1579	1648	348	1054
ENSMUSG00000036686	chr8	86656727	86671835	8586	-	641	559	494	551	123	454
ENSMUSG00000036687	chr5	140278439	140295871	7723	-	20	20	14	27	8	9
ENSMUSG00000036693	chr5	34981181	35002797	3089	-	2021	1866	1510	1657	500	1188
ENSMUSG00000036698	chr15	72929022	73015270	10957	-	5654	6122	4357	3752	1108	4500
ENSMUSG00000036699	chrX	33735899	33739153	8518	+	4	5	3	4	3	2
ENSMUSG00000036707	chr1	87690016	87748151	9515	+	2242	2017	1911	1841	493	1135
ENSMUSG00000036712	chr8	91220927	91275844	21117	+	778	676	649	798	215	569
ENSMUSG00000036718	chr5	140182647	140212290	14458	-	29	22	30	23	13	31
ENSMUSG00000036721	chr13	21454696	21461693	4745	+	385	259	310	293	52	142
ENSMUSG00000036731	chr2	25094347	25097972	1703	-	1	2	1	1	0	2
ENSMUSG00000036733	chr7	31426013	31435336	4412	-	19	23	11	10	5	13
ENSMUSG00000036737	chr9	119147550	119231545	8367	-	2624	2301	2074	2399	606	1655
ENSMUSG00000036743	chr18	14864660	14920808	3870	+	434	403	389	455	120	330
ENSMUSG00000036744	chr7	113957643	113964223	5142	+	2	1	1	0	0	0
ENSMUSG00000036745	chr3	146515331	146646973	23063	+	2	1	5	4	2	10
ENSMUSG00000036748	chr19	46404302	46413150	5706	-	1000	814	864	669	128	423
ENSMUSG00000036749	chr4	143860536	143870391	4731	-	13	10	9	10	0	2
ENSMUSG00000036751	chr7	31401993	31411170	505	-	3453	3023	2955	2825	641	1432
ENSMUSG00000036752	chr2	25077680	25080222	2429	-	11010	9070	9382	8461	1322	4401
ENSMUSG00000036760	chr15	72342549	72376709	1209	-	0	0	1	0	0	0
ENSMUSG00000036764	chr10	62845191	62871588	4524	+	58	44	57	46	11	17
ENSMUSG00000036766	chr1	84366416	84692796	3630	-	23	19	12	14	1	12
ENSMUSG00000036768	chr9	122860199	122927843	4815	+	2790	2578	2399	2744	776	1996
ENSMUSG00000036769	chrX	23270177	23383151	14229	+	447	423	348	411	122	331
ENSMUSG00000036770	chr2	25067727	25070157	6760	-	7	3	9	17	1	12
ENSMUSG00000036775	chr17	26218156	26227274	4126	-	727	628	642	555	91	400
ENSMUSG00000036777	chr9	22135658	22193650	5421	-	6841	5914	5718	5770	1526	3861
ENSMUSG00000036779	chr8	90723112	90783621	15145	+	1676	1570	1476	1788	558	1156
ENSMUSG00000036781	chr9	66793893	66797323	2701	+	3425	3214	3338	2910	902	1501
ENSMUSG00000036782	chrX	22796397	22942208	20381	-	2461	2022	2076	1576	387	892
ENSMUSG00000036790	chrX	63902493	63914568	10761	+	0	0	1	1	0	0
ENSMUSG00000036792	chr2	48805030	49177804	34961	+	619	653	475	683	194	590
ENSMUSG00000036800	chr15	71276108	71558268	4623	-	3	1	2	0	0	0
ENSMUSG00000036805	chr2	24941187	24950669	3192	-	0	1	0	1	1	0
ENSMUSG00000036810	chr8	90642668	90659009	9039	+	625	568	493	587	194	466
ENSMUSG00000036813	chr2	24935824	24941239	14446	+	0	0	0	0	0	0
ENSMUSG00000036814	chr9	123545240	123588003	5122	-	1	2	1	0	0	0
ENSMUSG00000036815	chr1	125228716	125942136	14482	-	2	1	1	0	0	2
ENSMUSG00000036816	chr10	62562904	62563353	450	+	0	0	0	0	0	0
